revenue_id,origination_id,partner_id,recognition_period,revenue_recognized_usd,cumulative_revenue_recognized_usd,recognition_method
REV-0000088,ORG-200030,PTR-002,2024-06,1112.36,1112.36,straight_line_fee_recognition
REV-0000089,ORG-200030,PTR-002,2024-07,1112.36,2224.72,straight_line_fee_recognition
REV-0000090,ORG-200030,PTR-002,2024-08,1112.36,3337.08,straight_line_fee_recognition
REV-0000091,ORG-200030,PTR-002,2024-09,1112.36,4449.44,straight_line_fee_recognition
REV-0000092,ORG-200030,PTR-002,2024-10,1112.36,5561.8,straight_line_fee_recognition
REV-0000093,ORG-200031,PTR-005,2022-08,675.12,675.12,straight_line_fee_recognition
REV-0000094,ORG-200031,PTR-005,2022-09,675.12,1350.24,straight_line_fee_recognition
REV-0000095,ORG-200032,PTR-004,2024-07,3507.89,3507.89,straight_line_fee_recognition
REV-0000096,ORG-200032,PTR-004,2024-08,3507.89,7015.78,straight_line_fee_recognition
REV-0000097,ORG-200033,PTR-003,2022-02,2468.49,2468.49,straight_line_fee_recognition
REV-0000098,ORG-200033,PTR-003,2022-03,2468.49,4936.98,straight_line_fee_recognition
REV-0000099,ORG-200034,PTR-001,2023-07,1159.77,1159.77,straight_line_fee_recognition
REV-0000100,ORG-200034,PTR-001,2023-08,1159.77,2319.54,straight_line_fee_recognition
REV-0000101,ORG-200035,PTR-002,2024-02,3622.15,3622.15,straight_line_fee_recognition
REV-0000102,ORG-200035,PTR-002,2024-03,3622.15,7244.3,straight_line_fee_recognition
REV-0000103,ORG-200036,PTR-004,2023-04,3147.93,3147.93,straight_line_fee_recognition
REV-0000104,ORG-200036,PTR-004,2023-05,3147.93,6295.86,straight_line_fee_recognition
REV-0000105,ORG-200037,PTR-003,2024-12,136.8,136.8,straight_line_fee_recognition
REV-0000106,ORG-200037,PTR-003,2025-01,136.8,273.6,straight_line_fee_recognition
REV-0000107,ORG-200037,PTR-003,2025-02,136.8,410.4,straight_line_fee_recognition
REV-0000108,ORG-200037,PTR-003,2025-03,136.8,547.2,straight_line_fee_recognition
REV-0000109,ORG-200037,PTR-003,2025-04,136.8,684.0,straight_line_fee_recognition
REV-0000110,ORG-200038,PTR-006,2025-12,2257.02,2257.02,straight_line_fee_recognition
REV-0000111,ORG-200038,PTR-006,2026-01,2257.02,4514.04,straight_line_fee_recognition
REV-0000112,ORG-200038,PTR-006,2026-02,2257.02,6771.06,straight_line_fee_recognition
REV-0000113,ORG-200038,PTR-006,2026-03,2257.02,9028.08,straight_line_fee_recognition
REV-0000114,ORG-200038,PTR-006,2026-04,2257.02,11285.1,straight_line_fee_recognition
REV-0000115,ORG-200039,PTR-001,2026-04,1017.59,1017.59,straight_line_fee_recognition
REV-0000116,ORG-200039,PTR-001,2026-05,1017.59,2035.18,straight_line_fee_recognition
REV-0000117,ORG-200040,PTR-005,2022-07,2985.05,2985.05,straight_line_fee_recognition
REV-0000118,ORG-200040,PTR-005,2022-08,2985.05,5970.1,straight_line_fee_recognition
REV-0000119,ORG-200041,PTR-001,2023-08,2154.5,2154.5,straight_line_fee_recognition
REV-0000120,ORG-200041,PTR-001,2023-09,2154.5,4309.0,straight_line_fee_recognition
REV-0000121,ORG-200041,PTR-001,2023-10,2154.5,6463.5,straight_line_fee_recognition
REV-0000122,ORG-200041,PTR-001,2023-11,2154.5,8618.0,straight_line_fee_recognition
REV-0000123,ORG-200041,PTR-001,2023-12,2154.5,10772.5,straight_line_fee_recognition
REV-0000124,ORG-200041,PTR-001,2023-12,2154.5,12927.0,straight_line_fee_recognition
REV-0000125,ORG-200042,PTR-002,2022-11,4795.26,4795.26,straight_line_fee_recognition
REV-0000126,ORG-200042,PTR-002,2022-12,4795.26,9590.52,straight_line_fee_recognition
REV-0000127,ORG-200042,PTR-002,2023-01,4795.26,14385.78,straight_line_fee_recognition
REV-0000128,ORG-200042,PTR-002,2023-02,4795.26,19181.04,straight_line_fee_recognition
REV-0000129,ORG-200043,PTR-003,2023-03,3036.5,3036.5,straight_line_fee_recognition
REV-0000130,ORG-200043,PTR-003,2023-04,3036.5,6073.0,straight_line_fee_recognition
REV-0000131,ORG-200043,PTR-003,2023-05,3036.5,9109.5,straight_line_fee_recognition
REV-0000132,ORG-200043,PTR-003,2023-06,3036.5,12146.0,straight_line_fee_recognition
REV-0000133,ORG-200043,PTR-003,2023-07,3036.5,15182.5,straight_line_fee_recognition
REV-0000134,ORG-200044,PTR-003,2025-02,1355.39,1355.39,straight_line_fee_recognition
REV-0000135,ORG-200044,PTR-003,2025-03,1355.39,2710.78,straight_line_fee_recognition
REV-0000136,ORG-200045,PTR-006,2023-10,2002.79,2002.79,straight_line_fee_recognition
REV-0000137,ORG-200045,PTR-006,2023-11,2002.79,4005.58,straight_line_fee_recognition
REV-0000138,ORG-200046,PTR-002,2025-01,2782.16,2782.16,straight_line_fee_recognition
REV-0000139,ORG-200046,PTR-002,2025-02,2782.16,5564.32,straight_line_fee_recognition
REV-0000140,ORG-200047,PTR-005,2022-10,5186.61,5186.61,straight_line_fee_recognition
REV-0000141,ORG-200047,PTR-005,2022-11,5186.61,10373.22,straight_line_fee_recognition
REV-0000142,ORG-200048,PTR-003,2023-08,211.21,211.21,straight_line_fee_recognition
REV-0000143,ORG-200048,PTR-003,2023-09,211.21,422.42,straight_line_fee_recognition
REV-0000144,ORG-200049,PTR-003,2025-03,3023.41,3023.41,straight_line_fee_recognition
REV-0000145,ORG-200049,PTR-003,2025-04,3023.41,6046.82,straight_line_fee_recognition
REV-0000146,ORG-200049,PTR-003,2025-05,3023.41,9070.23,straight_line_fee_recognition
REV-0000147,ORG-200049,PTR-003,2025-06,3023.41,12093.64,straight_line_fee_recognition
REV-0000148,ORG-200050,PTR-002,2022-09,4421.03,4421.03,straight_line_fee_recognition
REV-0000149,ORG-200050,PTR-002,2022-10,4421.03,8842.06,straight_line_fee_recognition
REV-0000150,ORG-200050,PTR-002,2022-11,4421.03,13263.09,straight_line_fee_recognition
REV-0000151,ORG-200050,PTR-002,2022-12,4421.03,17684.12,straight_line_fee_recognition
REV-0000152,ORG-200051,PTR-006,2024-09,1069.7,1069.7,straight_line_fee_recognition
REV-0000153,ORG-200051,PTR-006,2024-10,1069.7,2139.4,straight_line_fee_recognition
REV-0000154,ORG-200052,PTR-002,2022-11,1652.81,1652.81,straight_line_fee_recognition
REV-0000155,ORG-200052,PTR-002,2022-12,1652.81,3305.62,straight_line_fee_recognition
REV-0000156,ORG-200052,PTR-002,2023-01,1652.81,4958.43,straight_line_fee_recognition
REV-0000157,ORG-200052,PTR-002,2023-02,1652.81,6611.24,straight_line_fee_recognition
REV-0000158,ORG-200053,PTR-001,2022-07,1859.12,1859.12,straight_line_fee_recognition
REV-0000159,ORG-200053,PTR-001,2022-08,1859.12,3718.24,straight_line_fee_recognition
REV-0000160,ORG-200053,PTR-001,2022-09,1859.12,5577.36,straight_line_fee_recognition
REV-0000161,ORG-200053,PTR-001,2022-10,1859.12,7436.48,straight_line_fee_recognition
REV-0000162,ORG-200053,PTR-001,2022-11,1859.12,9295.6,straight_line_fee_recognition
REV-0000163,ORG-200053,PTR-001,2022-12,1859.12,11154.72,straight_line_fee_recognition
REV-0000164,ORG-200053,PTR-001,2023-01,1859.12,13013.84,straight_line_fee_recognition
REV-0000165,ORG-200054,PTR-002,2024-09,2600.21,2600.21,straight_line_fee_recognition
REV-0000166,ORG-200054,PTR-002,2024-10,2600.21,5200.42,straight_line_fee_recognition
REV-0000167,ORG-200054,PTR-002,2024-11,2600.21,7800.63,straight_line_fee_recognition
REV-0000168,ORG-200055,PTR-005,2026-01,5023.11,5023.11,straight_line_fee_recognition
REV-0000169,ORG-200055,PTR-005,2026-02,5023.11,10046.22,straight_line_fee_recognition
REV-0000170,ORG-200055,PTR-005,2026-03,5023.11,15069.33,straight_line_fee_recognition
REV-0000171,ORG-200056,PTR-006,2024-09,514.9,514.9,straight_line_fee_recognition
REV-0000172,ORG-200056,PTR-006,2024-10,514.9,1029.8,straight_line_fee_recognition
REV-0000173,ORG-200057,PTR-002,2022-03,4253.48,4253.48,straight_line_fee_recognition
REV-0000174,ORG-200057,PTR-002,2022-04,4253.48,8506.96,straight_line_fee_recognition
REV-0000175,ORG-200057,PTR-002,2022-05,4253.48,12760.44,straight_line_fee_recognition
REV-0000176,ORG-200058,PTR-004,2024-07,544.39,544.39,straight_line_fee_recognition
REV-0000177,ORG-200058,PTR-004,2024-08,544.39,1088.78,straight_line_fee_recognition
REV-0000178,ORG-200058,PTR-004,2024-09,544.39,1633.17,straight_line_fee_recognition
REV-0000179,ORG-200059,PTR-003,2024-08,1017.64,1017.64,straight_line_fee_recognition
REV-0000180,ORG-200059,PTR-003,2024-09,1017.64,2035.28,straight_line_fee_recognition
REV-0000181,ORG-200060,PTR-005,2024-11,1144.98,1144.98,straight_line_fee_recognition
REV-0000182,ORG-200060,PTR-005,2024-12,1144.98,2289.96,straight_line_fee_recognition
REV-0000183,ORG-200060,PTR-005,2025-01,1144.98,3434.94,straight_line_fee_recognition
REV-0000184,ORG-200061,PTR-003,2024-08,4521.95,4521.95,straight_line_fee_recognition
REV-0000185,ORG-200061,PTR-003,2024-09,4521.95,9043.9,straight_line_fee_recognition
REV-0000186,ORG-200062,PTR-002,2024-05,2940.72,2940.72,straight_line_fee_recognition
REV-0000187,ORG-200062,PTR-002,2024-06,2940.72,5881.44,straight_line_fee_recognition
REV-0000188,ORG-200062,PTR-002,2024-07,2940.72,8822.16,straight_line_fee_recognition
REV-0000189,ORG-200062,PTR-002,2024-08,2940.72,11762.88,straight_line_fee_recognition
REV-0000190,ORG-200063,PTR-006,2023-09,1847.19,1847.19,straight_line_fee_recognition
REV-0000191,ORG-200063,PTR-006,2023-10,1847.19,3694.38,straight_line_fee_recognition
REV-0000192,ORG-200063,PTR-006,2023-11,1847.19,5541.57,straight_line_fee_recognition
REV-0000193,ORG-200064,PTR-006,2024-07,1753.04,1753.04,straight_line_fee_recognition
REV-0000194,ORG-200064,PTR-006,2024-08,1753.04,3506.08,straight_line_fee_recognition
REV-0000195,ORG-200064,PTR-006,2024-09,1753.04,5259.12,straight_line_fee_recognition
REV-0000196,ORG-200064,PTR-006,2024-10,1753.04,7012.16,straight_line_fee_recognition
REV-0000197,ORG-200065,PTR-003,2022-04,2188.32,2188.32,straight_line_fee_recognition
REV-0000198,ORG-200065,PTR-003,2022-05,2188.32,4376.64,straight_line_fee_recognition
REV-0000199,ORG-200065,PTR-003,2022-06,2188.32,6564.96,straight_line_fee_recognition
REV-0000200,ORG-200065,PTR-003,2022-07,2188.32,8753.28,straight_line_fee_recognition
REV-0000201,ORG-200066,PTR-002,2022-04,1292.21,1292.21,straight_line_fee_recognition
REV-0000202,ORG-200067,PTR-001,2022-02,1849.14,1849.14,straight_line_fee_recognition
REV-0000203,ORG-200067,PTR-001,2022-03,1849.14,3698.28,straight_line_fee_recognition
REV-0000204,ORG-200067,PTR-001,2022-04,1849.14,5547.42,straight_line_fee_recognition
REV-0000205,ORG-200068,PTR-004,2025-08,2720.36,2720.36,straight_line_fee_recognition
REV-0000206,ORG-200069,PTR-005,2024-12,7310.94,7310.94,straight_line_fee_recognition
REV-0000207,ORG-200069,PTR-005,2025-01,7310.94,14621.88,straight_line_fee_recognition
REV-0000208,ORG-200070,PTR-004,2025-11,898.65,898.65,straight_line_fee_recognition
REV-0000209,ORG-200070,PTR-004,2025-12,898.65,1797.3,straight_line_fee_recognition
REV-0000210,ORG-200070,PTR-004,2026-01,898.65,2695.95,straight_line_fee_recognition
REV-0000211,ORG-200071,PTR-004,2025-07,2393.11,2393.11,straight_line_fee_recognition
REV-0000212,ORG-200071,PTR-004,2025-08,2393.11,4786.22,straight_line_fee_recognition
REV-0000213,ORG-200072,PTR-004,2023-09,1065.55,1065.55,straight_line_fee_recognition
REV-0000214,ORG-200072,PTR-004,2023-10,1065.55,2131.1,straight_line_fee_recognition
REV-0000215,ORG-200072,PTR-004,2023-11,1065.55,3196.65,straight_line_fee_recognition
REV-0000216,ORG-200072,PTR-004,2023-12,1065.55,4262.2,straight_line_fee_recognition
REV-0000217,ORG-200073,PTR-002,2026-01,1892.2,1892.2,straight_line_fee_recognition
REV-0000218,ORG-200073,PTR-002,2026-02,1892.2,3784.4,straight_line_fee_recognition
REV-0000219,ORG-200073,PTR-002,2026-03,1892.2,5676.6,straight_line_fee_recognition
REV-0000220,ORG-200074,PTR-005,2025-06,2455.7,2455.7,straight_line_fee_recognition
REV-0000221,ORG-200074,PTR-005,2025-07,2455.7,4911.4,straight_line_fee_recognition
REV-0000222,ORG-200075,PTR-005,2024-07,2389.84,2389.84,straight_line_fee_recognition
REV-0000223,ORG-200075,PTR-005,2024-08,2389.84,4779.68,straight_line_fee_recognition
REV-0000224,ORG-200076,PTR-003,2024-05,1670.83,1670.83,straight_line_fee_recognition
REV-0000225,ORG-200076,PTR-003,2024-06,1670.83,3341.66,straight_line_fee_recognition
REV-0000226,ORG-200076,PTR-003,2024-07,1670.83,5012.49,straight_line_fee_recognition
REV-0000227,ORG-200077,PTR-006,2024-11,1684.08,1684.08,straight_line_fee_recognition
REV-0000228,ORG-200077,PTR-006,2024-12,1684.08,3368.16,straight_line_fee_recognition
REV-0000229,ORG-200078,PTR-005,2024-05,5005.78,5005.78,straight_line_fee_recognition
REV-0000230,ORG-200078,PTR-005,2024-05,5005.78,10011.56,straight_line_fee_recognition
REV-0000231,ORG-200078,PTR-005,2024-06,5005.78,15017.34,straight_line_fee_recognition
REV-0000232,ORG-200078,PTR-005,2024-07,5005.78,20023.12,straight_line_fee_recognition
REV-0000233,ORG-200079,PTR-004,2022-06,643.79,643.79,straight_line_fee_recognition
REV-0000234,ORG-200079,PTR-004,2022-07,643.79,1287.58,straight_line_fee_recognition
REV-0000235,ORG-200080,PTR-003,2023-07,1807.02,1807.02,straight_line_fee_recognition
REV-0000236,ORG-200080,PTR-003,2023-08,1807.02,3614.04,straight_line_fee_recognition
REV-0000237,ORG-200080,PTR-003,2023-09,1807.02,5421.06,straight_line_fee_recognition
REV-0000238,ORG-200080,PTR-003,2023-10,1807.02,7228.08,straight_line_fee_recognition
REV-0000239,ORG-200081,PTR-004,2022-09,2299.88,2299.88,straight_line_fee_recognition
REV-0000240,ORG-200081,PTR-004,2022-10,2299.88,4599.76,straight_line_fee_recognition
REV-0000241,ORG-200081,PTR-004,2022-11,2299.88,6899.64,straight_line_fee_recognition
REV-0000242,ORG-200082,PTR-002,2025-08,1250.45,1250.45,straight_line_fee_recognition
REV-0000243,ORG-200082,PTR-002,2025-09,1250.45,2500.9,straight_line_fee_recognition
REV-0000244,ORG-200083,PTR-002,2026-03,864.97,864.97,straight_line_fee_recognition
REV-0000245,ORG-200083,PTR-002,2026-04,864.97,1729.94,straight_line_fee_recognition
REV-0000246,ORG-200084,PTR-006,2023-08,4811.16,4811.16,straight_line_fee_recognition
REV-0000247,ORG-200084,PTR-006,2023-09,4811.16,9622.32,straight_line_fee_recognition
REV-0000248,ORG-200085,PTR-006,2024-12,3317.64,3317.64,straight_line_fee_recognition
REV-0000249,ORG-200085,PTR-006,2025-01,3317.64,6635.28,straight_line_fee_recognition
REV-0000250,ORG-200086,PTR-004,2022-11,2216.78,2216.78,straight_line_fee_recognition
REV-0000251,ORG-200086,PTR-004,2022-12,2216.78,4433.56,straight_line_fee_recognition
REV-0000252,ORG-200086,PTR-004,2023-01,2216.78,6650.34,straight_line_fee_recognition
REV-0000253,ORG-200087,PTR-006,2023-06,905.97,905.97,straight_line_fee_recognition
REV-0000254,ORG-200087,PTR-006,2023-07,905.97,1811.94,straight_line_fee_recognition
REV-0000255,ORG-200088,PTR-003,2023-05,1470.34,1470.34,straight_line_fee_recognition
REV-0000256,ORG-200088,PTR-003,2023-06,1470.34,2940.68,straight_line_fee_recognition
REV-0000257,ORG-200089,PTR-001,2022-06,3727.08,3727.08,straight_line_fee_recognition
REV-0000258,ORG-200089,PTR-001,2022-07,3727.08,7454.16,straight_line_fee_recognition
REV-0000259,ORG-200089,PTR-001,2022-08,3727.08,11181.24,straight_line_fee_recognition
REV-0000260,ORG-200089,PTR-001,2022-09,3727.08,14908.32,straight_line_fee_recognition
REV-0000261,ORG-200089,PTR-001,2022-10,3727.08,18635.4,straight_line_fee_recognition
REV-0000262,ORG-200089,PTR-001,2022-11,3727.08,22362.48,straight_line_fee_recognition
REV-0000263,ORG-200089,PTR-001,2022-12,3727.08,26089.56,straight_line_fee_recognition
REV-0000264,ORG-200090,PTR-002,2025-04,3057.19,3057.19,straight_line_fee_recognition
REV-0000265,ORG-200090,PTR-002,2025-05,3057.19,6114.38,straight_line_fee_recognition
REV-0000266,ORG-200090,PTR-002,2025-06,3057.19,9171.57,straight_line_fee_recognition
REV-0000267,ORG-200090,PTR-002,2025-07,3057.19,12228.76,straight_line_fee_recognition
REV-0000268,ORG-200091,PTR-002,2023-11,1422.48,1422.48,straight_line_fee_recognition
REV-0000269,ORG-200091,PTR-002,2023-12,1422.48,2844.96,straight_line_fee_recognition
REV-0000270,ORG-200091,PTR-002,2024-01,1422.48,4267.44,straight_line_fee_recognition
REV-0000271,ORG-200092,PTR-001,2022-09,352.83,352.83,straight_line_fee_recognition
REV-0000272,ORG-200092,PTR-001,2022-10,352.83,705.66,straight_line_fee_recognition
REV-0000273,ORG-200092,PTR-001,2022-11,352.83,1058.49,straight_line_fee_recognition
REV-0000274,ORG-200093,PTR-001,2026-05,3374.24,3374.24,straight_line_fee_recognition
REV-0000275,ORG-200093,PTR-001,2026-06,3374.24,6748.48,straight_line_fee_recognition
REV-0000276,ORG-200093,PTR-001,2026-07,3374.24,10122.72,straight_line_fee_recognition
REV-0000277,ORG-200094,PTR-005,2024-03,1057.87,1057.87,straight_line_fee_recognition
REV-0000278,ORG-200094,PTR-005,2024-04,1057.87,2115.74,straight_line_fee_recognition
REV-0000279,ORG-200094,PTR-005,2024-05,1057.87,3173.61,straight_line_fee_recognition
REV-0000280,ORG-200095,PTR-001,2022-08,665.03,665.03,straight_line_fee_recognition
REV-0000281,ORG-200095,PTR-001,2022-09,665.03,1330.06,straight_line_fee_recognition
REV-0000282,ORG-200096,PTR-005,2024-03,4256.41,4256.41,straight_line_fee_recognition
REV-0000283,ORG-200096,PTR-005,2024-04,4256.41,8512.82,straight_line_fee_recognition
REV-0000284,ORG-200097,PTR-006,2024-06,1255.17,1255.17,straight_line_fee_recognition
REV-0000285,ORG-200097,PTR-006,2024-07,1255.17,2510.34,straight_line_fee_recognition
REV-0000286,ORG-200097,PTR-006,2024-08,1255.17,3765.51,straight_line_fee_recognition
REV-0000287,ORG-200097,PTR-006,2024-09,1255.17,5020.68,straight_line_fee_recognition
REV-0000288,ORG-200098,PTR-001,2026-02,2625.22,2625.22,straight_line_fee_recognition
REV-0000289,ORG-200098,PTR-001,2026-03,2625.22,5250.44,straight_line_fee_recognition
REV-0000290,ORG-200099,PTR-001,2022-07,920.65,920.65,straight_line_fee_recognition
REV-0000291,ORG-200099,PTR-001,2022-08,920.65,1841.3,straight_line_fee_recognition
REV-0000292,ORG-200100,PTR-006,2024-08,1760.14,1760.14,straight_line_fee_recognition
REV-0000293,ORG-200100,PTR-006,2024-09,1760.14,3520.28,straight_line_fee_recognition
REV-0000294,ORG-200100,PTR-006,2024-10,1760.14,5280.42,straight_line_fee_recognition
REV-0000295,ORG-200100,PTR-006,2024-11,1760.14,7040.56,straight_line_fee_recognition
REV-0000296,ORG-200100,PTR-006,2024-12,1760.14,8800.7,straight_line_fee_recognition
REV-0000297,ORG-200101,PTR-005,2022-01,4850.76,4850.76,straight_line_fee_recognition
