repayment_id,origination_id,partner_id,payment_date,remittance_amount_usd,cumulative_repaid_usd,payment_method
RPY-0000101,ORG-200011,PTR-005,2023-12-31,273.22,6206.09,ach_remittance
RPY-0000102,ORG-200011,PTR-005,2024-01-07,328.94,6535.03,ach_remittance
RPY-0000103,ORG-200011,PTR-005,2024-01-14,380.93,6915.96,ach_remittance
RPY-0000104,ORG-200011,PTR-005,2024-01-21,561.63,7477.59,ach_remittance
RPY-0000105,ORG-200011,PTR-005,2024-01-28,488.44,7966.03,ach_remittance
RPY-0000106,ORG-200011,PTR-005,2024-02-04,356.31,8322.34,manual_payment
RPY-0000107,ORG-200011,PTR-005,2024-02-11,527.69,8850.03,ach_remittance
RPY-0000108,ORG-200011,PTR-005,2024-02-18,436.26,9286.29,ach_remittance
RPY-0000109,ORG-200011,PTR-005,2024-02-25,552.05,9838.34,ach_remittance
RPY-0000110,ORG-200011,PTR-005,2024-03-03,269.36,10107.7,ach_remittance
RPY-0000111,ORG-200011,PTR-005,2024-03-10,350.29,10457.99,ach_remittance
RPY-0000112,ORG-200011,PTR-005,2024-03-17,367.13,10825.12,ach_remittance
RPY-0000113,ORG-200012,PTR-001,2022-01-11,4728.75,4728.75,ach_remittance
RPY-0000114,ORG-200012,PTR-001,2022-01-18,4893.9,9622.65,ach_remittance
RPY-0000115,ORG-200012,PTR-001,2022-01-25,3887.69,13510.34,ach_remittance
RPY-0000116,ORG-200012,PTR-001,2022-02-01,5498.57,19008.91,ach_remittance
RPY-0000117,ORG-200012,PTR-001,2022-02-08,4651.51,23660.42,ach_remittance
RPY-0000118,ORG-200012,PTR-001,2022-02-15,5136.15,28796.57,ach_remittance
RPY-0000119,ORG-200013,PTR-006,2025-03-18,1401.58,1401.58,ach_remittance
RPY-0000120,ORG-200013,PTR-006,2025-03-25,2203.75,3605.33,ach_remittance
RPY-0000121,ORG-200013,PTR-006,2025-04-01,2623.66,6228.99,ach_remittance
RPY-0000122,ORG-200013,PTR-006,2025-04-08,2226.67,8455.66,ach_remittance
RPY-0000123,ORG-200013,PTR-006,2025-04-15,2284.62,10740.28,ach_remittance
RPY-0000124,ORG-200013,PTR-006,2025-04-22,2887.61,13627.89,ach_remittance
RPY-0000125,ORG-200013,PTR-006,2025-04-29,1559.2,15187.09,ach_remittance
RPY-0000126,ORG-200013,PTR-006,2025-05-06,2583.01,17770.1,ach_remittance
RPY-0000127,ORG-200013,PTR-006,2025-05-13,2929.45,20699.55,ach_remittance
RPY-0000128,ORG-200013,PTR-006,2025-05-20,2657.45,23357.0,ach_remittance
RPY-0000129,ORG-200013,PTR-006,2025-05-27,1772.75,25129.75,manual_payment
RPY-0000130,ORG-200013,PTR-006,2025-06-03,1858.13,26987.88,ach_remittance
RPY-0000131,ORG-200013,PTR-006,2025-06-10,2987.93,29975.81,manual_payment
RPY-0000132,ORG-200013,PTR-006,2025-06-17,2174.9,32150.71,ach_remittance
RPY-0000133,ORG-200013,PTR-006,2025-06-24,1763.98,33914.69,ach_remittance
RPY-0000134,ORG-200013,PTR-006,2025-07-01,3440.62,37355.31,ach_remittance
RPY-0000135,ORG-200014,PTR-002,2025-02-22,5659.05,5659.05,ach_remittance
RPY-0000136,ORG-200014,PTR-002,2025-03-01,6649.32,12308.37,ach_remittance
RPY-0000137,ORG-200014,PTR-002,2025-03-08,6311.01,18619.38,ach_remittance
RPY-0000138,ORG-200014,PTR-002,2025-03-15,7699.31,26318.69,ach_remittance
RPY-0000139,ORG-200014,PTR-002,2025-03-22,6891.81,33210.5,ach_remittance
RPY-0000140,ORG-200014,PTR-002,2025-03-29,7413.85,40624.35,ach_remittance
RPY-0000141,ORG-200014,PTR-002,2025-04-05,7726.43,48350.78,ach_remittance
RPY-0000142,ORG-200014,PTR-002,2025-04-12,4418.7,52769.48,ach_remittance
RPY-0000143,ORG-200015,PTR-002,2025-01-18,2996.64,2996.64,ach_remittance
RPY-0000144,ORG-200015,PTR-002,2025-01-25,2549.45,5546.09,ach_remittance
RPY-0000145,ORG-200015,PTR-002,2025-02-01,2858.71,8404.8,ach_remittance
RPY-0000146,ORG-200015,PTR-002,2025-02-08,2148.27,10553.07,ach_remittance
RPY-0000147,ORG-200015,PTR-002,2025-02-15,3013.68,13566.75,ach_remittance
RPY-0000148,ORG-200015,PTR-002,2025-02-22,4485.73,18052.48,manual_payment
RPY-0000149,ORG-200015,PTR-002,2025-03-01,4312.75,22365.23,ach_remittance
RPY-0000150,ORG-200015,PTR-002,2025-03-08,3245.11,25610.34,ach_remittance
RPY-0000151,ORG-200015,PTR-002,2025-03-15,2773.36,28383.7,ach_remittance
RPY-0000152,ORG-200015,PTR-002,2025-03-22,4341.8,32725.5,ach_remittance
RPY-0000153,ORG-200015,PTR-002,2025-03-29,3407.07,36132.57,ach_remittance
RPY-0000154,ORG-200015,PTR-002,2025-04-05,4099.08,40231.65,ach_remittance
RPY-0000155,ORG-200015,PTR-002,2025-04-12,2746.21,42977.86,ach_remittance
RPY-0000156,ORG-200016,PTR-003,2025-01-05,560.44,560.44,manual_payment
RPY-0000157,ORG-200016,PTR-003,2025-01-12,593.85,1154.29,ach_remittance
RPY-0000158,ORG-200016,PTR-003,2025-01-19,516.65,1670.94,manual_payment
RPY-0000159,ORG-200016,PTR-003,2025-01-26,481.44,2152.38,ach_remittance
RPY-0000160,ORG-200016,PTR-003,2025-02-02,459.15,2611.53,ach_remittance
RPY-0000161,ORG-200016,PTR-003,2025-02-09,481.45,3092.98,ach_remittance
RPY-0000162,ORG-200016,PTR-003,2025-02-16,674.51,3767.49,ach_remittance
RPY-0000163,ORG-200016,PTR-003,2025-02-23,354.71,4122.2,manual_payment
RPY-0000164,ORG-200016,PTR-003,2025-03-02,549.79,4671.99,ach_remittance
RPY-0000165,ORG-200016,PTR-003,2025-03-09,469.01,5141.0,ach_remittance
RPY-0000166,ORG-200016,PTR-003,2025-03-16,652.9,5793.9,ach_remittance
RPY-0000167,ORG-200016,PTR-003,2025-03-23,601.91,6395.81,ach_remittance
RPY-0000168,ORG-200017,PTR-002,2022-12-17,7461.66,7461.66,ach_remittance
RPY-0000169,ORG-200017,PTR-002,2022-12-24,4643.43,12105.09,ach_remittance
RPY-0000170,ORG-200017,PTR-002,2022-12-31,6751.89,18856.98,ach_remittance
RPY-0000171,ORG-200017,PTR-002,2023-01-07,6737.22,25594.2,ach_remittance
RPY-0000172,ORG-200017,PTR-002,2023-01-14,5718.4,31312.6,ach_remittance
RPY-0000173,ORG-200017,PTR-002,2023-01-21,4819.07,36131.67,ach_remittance
RPY-0000174,ORG-200017,PTR-002,2023-01-28,8332.66,44464.33,ach_remittance
RPY-0000175,ORG-200018,PTR-002,2023-12-07,5063.58,5063.58,ach_remittance
RPY-0000176,ORG-200018,PTR-002,2023-12-14,4540.92,9604.5,ach_remittance
RPY-0000177,ORG-200018,PTR-002,2023-12-21,4939.21,14543.71,ach_remittance
RPY-0000178,ORG-200018,PTR-002,2023-12-28,3781.3,18325.01,ach_remittance
RPY-0000179,ORG-200018,PTR-002,2024-01-04,5717.89,24042.9,ach_remittance
RPY-0000180,ORG-200018,PTR-002,2024-01-11,6816.83,30859.73,ach_remittance
RPY-0000181,ORG-200018,PTR-002,2024-01-18,4960.17,35819.9,ach_remittance
RPY-0000182,ORG-200018,PTR-002,2024-01-25,5008.81,40828.71,ach_remittance
RPY-0000183,ORG-200019,PTR-003,2024-01-04,2305.14,2305.14,ach_remittance
RPY-0000184,ORG-200019,PTR-003,2024-01-11,1451.06,3756.2,manual_payment
RPY-0000185,ORG-200019,PTR-003,2024-01-18,2400.92,6157.12,manual_payment
RPY-0000186,ORG-200019,PTR-003,2024-01-25,2078.57,8235.69,ach_remittance
RPY-0000187,ORG-200019,PTR-003,2024-02-01,2132.42,10368.11,ach_remittance
RPY-0000188,ORG-200019,PTR-003,2024-02-08,1973.69,12341.8,ach_remittance
RPY-0000189,ORG-200019,PTR-003,2024-02-15,1797.38,14139.18,manual_payment
RPY-0000190,ORG-200020,PTR-002,2023-07-16,4851.39,4851.39,ach_remittance
RPY-0000191,ORG-200020,PTR-002,2023-07-23,4922.6,9773.99,ach_remittance
RPY-0000192,ORG-200020,PTR-002,2023-07-30,4748.77,14522.76,ach_remittance
RPY-0000193,ORG-200020,PTR-002,2023-08-06,4908.5,19431.26,ach_remittance
RPY-0000194,ORG-200020,PTR-002,2023-08-13,4417.13,23848.39,ach_remittance
RPY-0000195,ORG-200020,PTR-002,2023-08-20,881.98,24730.37,ach_remittance
RPY-0000196,ORG-200021,PTR-001,2022-09-23,1723.95,1723.95,manual_payment
RPY-0000197,ORG-200021,PTR-001,2022-09-30,2091.46,3815.41,ach_remittance
RPY-0000198,ORG-200021,PTR-001,2022-10-07,2205.44,6020.85,ach_remittance
RPY-0000199,ORG-200021,PTR-001,2022-10-14,2027.04,8047.89,ach_remittance
RPY-0000200,ORG-200021,PTR-001,2022-10-21,1747.21,9795.1,manual_payment
RPY-0000201,ORG-200021,PTR-001,2022-10-28,2510.84,12305.94,ach_remittance
RPY-0000202,ORG-200021,PTR-001,2022-11-04,5386.79,17692.73,ach_remittance
RPY-0000203,ORG-200022,PTR-002,2024-07-18,5924.52,5924.52,ach_remittance
RPY-0000204,ORG-200022,PTR-002,2024-07-25,5836.46,11760.98,manual_payment
RPY-0000205,ORG-200022,PTR-002,2024-08-01,7569.2,19330.18,manual_payment
RPY-0000206,ORG-200022,PTR-002,2024-08-08,6695.61,26025.79,ach_remittance
RPY-0000207,ORG-200022,PTR-002,2024-08-15,4490.98,30516.77,manual_payment
RPY-0000208,ORG-200022,PTR-002,2024-08-22,4381.29,34898.06,ach_remittance
RPY-0000209,ORG-200022,PTR-002,2024-08-29,4012.45,38910.51,ach_remittance
RPY-0000210,ORG-200022,PTR-002,2024-09-05,6370.88,45281.39,ach_remittance
RPY-0000211,ORG-200022,PTR-002,2024-09-12,3464.08,48745.47,ach_remittance
RPY-0000212,ORG-200022,PTR-002,2024-09-19,4570.97,53316.44,ach_remittance
RPY-0000213,ORG-200022,PTR-002,2024-09-26,3634.67,56951.11,ach_remittance
RPY-0000214,ORG-200022,PTR-002,2024-10-03,4490.57,61441.68,ach_remittance
RPY-0000215,ORG-200022,PTR-002,2024-10-10,10483.3,71924.98,ach_remittance
RPY-0000216,ORG-200023,PTR-002,2025-03-18,1538.94,1538.94,ach_remittance
RPY-0000217,ORG-200023,PTR-002,2025-03-25,1455.35,2994.29,ach_remittance
RPY-0000218,ORG-200023,PTR-002,2025-04-01,1628.95,4623.24,ach_remittance
RPY-0000219,ORG-200023,PTR-002,2025-04-08,1702.26,6325.5,ach_remittance
RPY-0000220,ORG-200023,PTR-002,2025-04-15,1874.63,8200.13,ach_remittance
RPY-0000221,ORG-200023,PTR-002,2025-04-22,979.74,9179.87,ach_remittance
RPY-0000222,ORG-200023,PTR-002,2025-04-29,1798.56,10978.43,ach_remittance
RPY-0000223,ORG-200023,PTR-002,2025-05-06,1649.28,12627.71,ach_remittance
RPY-0000224,ORG-200024,PTR-001,2024-10-11,686.06,686.06,ach_remittance
RPY-0000225,ORG-200024,PTR-001,2024-10-18,506.16,1192.22,ach_remittance
RPY-0000226,ORG-200024,PTR-001,2024-10-25,688.01,1880.23,ach_remittance
RPY-0000227,ORG-200024,PTR-001,2024-11-01,836.64,2716.87,ach_remittance
RPY-0000228,ORG-200024,PTR-001,2024-11-08,894.63,3611.5,manual_payment
RPY-0000229,ORG-200024,PTR-001,2024-11-15,496.36,4107.86,ach_remittance
RPY-0000230,ORG-200024,PTR-001,2024-11-22,512.86,4620.72,ach_remittance
RPY-0000231,ORG-200024,PTR-001,2024-11-29,956.47,5577.19,ach_remittance
RPY-0000232,ORG-200024,PTR-001,2024-12-06,1085.9,6663.09,manual_payment
RPY-0000233,ORG-200025,PTR-005,2023-08-20,503.53,503.53,ach_remittance
RPY-0000234,ORG-200025,PTR-005,2023-08-27,785.18,1288.71,ach_remittance
RPY-0000235,ORG-200025,PTR-005,2023-09-03,524.88,1813.59,ach_remittance
RPY-0000236,ORG-200025,PTR-005,2023-09-10,752.46,2566.05,manual_payment
RPY-0000237,ORG-200025,PTR-005,2023-09-17,1006.71,3572.76,ach_remittance
RPY-0000238,ORG-200025,PTR-005,2023-09-24,700.0,4272.76,ach_remittance
RPY-0000239,ORG-200025,PTR-005,2023-10-01,914.19,5186.95,ach_remittance
RPY-0000240,ORG-200025,PTR-005,2023-10-08,847.43,6034.38,ach_remittance
RPY-0000241,ORG-200025,PTR-005,2023-10-15,591.35,6625.73,ach_remittance
RPY-0000242,ORG-200025,PTR-005,2023-10-22,999.77,7625.5,ach_remittance
RPY-0000243,ORG-200025,PTR-005,2023-10-29,319.5,7945.0,ach_remittance
RPY-0000244,ORG-200026,PTR-004,2023-07-09,3193.96,3193.96,ach_remittance
RPY-0000245,ORG-200026,PTR-004,2023-07-16,5327.26,8521.22,ach_remittance
RPY-0000246,ORG-200026,PTR-004,2023-07-23,2737.17,11258.39,ach_remittance
RPY-0000247,ORG-200026,PTR-004,2023-07-30,3335.81,14594.2,ach_remittance
RPY-0000248,ORG-200026,PTR-004,2023-08-06,3939.86,18534.06,ach_remittance
RPY-0000249,ORG-200026,PTR-004,2023-08-13,3264.7,21798.76,ach_remittance
RPY-0000250,ORG-200026,PTR-004,2023-08-20,4409.16,26207.92,ach_remittance
RPY-0000251,ORG-200026,PTR-004,2023-08-27,2995.99,29203.91,ach_remittance
RPY-0000252,ORG-200026,PTR-004,2023-09-03,2417.5,31621.41,ach_remittance
RPY-0000253,ORG-200026,PTR-004,2023-09-10,4432.71,36054.12,ach_remittance
RPY-0000254,ORG-200026,PTR-004,2023-09-17,3460.56,39514.68,ach_remittance
RPY-0000255,ORG-200026,PTR-004,2023-09-24,4784.59,44299.27,ach_remittance
RPY-0000256,ORG-200026,PTR-004,2023-10-01,5199.16,49498.43,ach_remittance
RPY-0000257,ORG-200027,PTR-001,2025-09-09,8219.3,8219.3,ach_remittance
RPY-0000258,ORG-200027,PTR-001,2025-09-16,7369.93,15589.23,ach_remittance
RPY-0000259,ORG-200027,PTR-001,2025-09-23,4456.09,20045.32,ach_remittance
RPY-0000260,ORG-200027,PTR-001,2025-09-30,7644.16,27689.48,ach_remittance
RPY-0000261,ORG-200027,PTR-001,2025-10-07,9145.68,36835.16,ach_remittance
RPY-0000262,ORG-200027,PTR-001,2025-10-14,3415.42,40250.58,ach_remittance
RPY-0000263,ORG-200028,PTR-004,2022-08-01,1242.01,1242.01,manual_payment
RPY-0000264,ORG-200028,PTR-004,2022-08-08,1161.43,2403.44,ach_remittance
RPY-0000265,ORG-200028,PTR-004,2022-08-15,844.95,3248.39,ach_remittance
RPY-0000266,ORG-200028,PTR-004,2022-08-22,962.38,4210.77,ach_remittance
RPY-0000267,ORG-200028,PTR-004,2022-08-29,1158.7,5369.47,ach_remittance
RPY-0000268,ORG-200028,PTR-004,2022-09-05,622.7,5992.17,ach_remittance
RPY-0000269,ORG-200028,PTR-004,2022-09-12,1028.89,7021.06,ach_remittance
RPY-0000270,ORG-200028,PTR-004,2022-09-19,1249.08,8270.14,ach_remittance
RPY-0000271,ORG-200028,PTR-004,2022-09-26,180.59,8450.73,ach_remittance
RPY-0000272,ORG-200029,PTR-003,2025-04-25,5093.6,5093.6,ach_remittance
RPY-0000273,ORG-200029,PTR-003,2025-05-02,3720.78,8814.38,ach_remittance
RPY-0000274,ORG-200029,PTR-003,2025-05-09,5670.12,14484.5,ach_remittance
RPY-0000275,ORG-200029,PTR-003,2025-05-16,4001.02,18485.52,ach_remittance
RPY-0000276,ORG-200029,PTR-003,2025-05-23,3698.68,22184.2,ach_remittance
RPY-0000277,ORG-200029,PTR-003,2025-05-30,2729.93,24914.13,ach_remittance
RPY-0000278,ORG-200029,PTR-003,2025-06-06,4052.09,28966.22,manual_payment
RPY-0000279,ORG-200029,PTR-003,2025-06-13,5711.61,34677.83,ach_remittance
RPY-0000280,ORG-200029,PTR-003,2025-06-20,6095.44,40773.27,ach_remittance
RPY-0000281,ORG-200029,PTR-003,2025-06-27,5287.6,46060.87,ach_remittance
RPY-0000282,ORG-200029,PTR-003,2025-07-04,2565.34,48626.21,ach_remittance
RPY-0000283,ORG-200030,PTR-002,2024-06-28,761.02,761.02,ach_remittance
RPY-0000284,ORG-200030,PTR-002,2024-07-05,929.65,1690.67,ach_remittance
RPY-0000285,ORG-200030,PTR-002,2024-07-12,820.93,2511.6,ach_remittance
RPY-0000286,ORG-200030,PTR-002,2024-07-19,1404.31,3915.91,ach_remittance
RPY-0000287,ORG-200030,PTR-002,2024-07-26,1080.82,4996.73,ach_remittance
RPY-0000288,ORG-200030,PTR-002,2024-08-02,789.63,5786.36,ach_remittance
RPY-0000289,ORG-200030,PTR-002,2024-08-09,1462.78,7249.14,ach_remittance
RPY-0000290,ORG-200030,PTR-002,2024-08-16,902.39,8151.53,ach_remittance
RPY-0000291,ORG-200030,PTR-002,2024-08-23,1341.95,9493.48,ach_remittance
RPY-0000292,ORG-200030,PTR-002,2024-08-30,712.57,10206.05,ach_remittance
RPY-0000293,ORG-200030,PTR-002,2024-09-06,842.36,11048.41,ach_remittance
RPY-0000294,ORG-200030,PTR-002,2024-09-13,1229.85,12278.26,ach_remittance
RPY-0000295,ORG-200030,PTR-002,2024-09-20,1377.79,13656.05,ach_remittance
RPY-0000296,ORG-200030,PTR-002,2024-09-27,725.53,14381.58,ach_remittance
RPY-0000297,ORG-200030,PTR-002,2024-10-04,875.9,15257.48,ach_remittance
RPY-0000298,ORG-200030,PTR-002,2024-10-11,965.8,16223.28,ach_remittance
RPY-0000299,ORG-200030,PTR-002,2024-10-18,873.91,17097.19,ach_remittance
RPY-0000300,ORG-200030,PTR-002,2024-10-25,1198.89,18296.08,ach_remittance
RPY-0000301,ORG-200030,PTR-002,2024-11-01,1230.22,19526.3,ach_remittance
RPY-0000302,ORG-200030,PTR-002,2024-11-08,1182.49,20708.79,ach_remittance
RPY-0000303,ORG-200030,PTR-002,2024-11-15,1955.81,22664.6,ach_remittance
RPY-0000304,ORG-200031,PTR-005,2022-09-02,1419.34,1419.34,ach_remittance
RPY-0000305,ORG-200031,PTR-005,2022-09-09,2276.43,3695.77,ach_remittance
RPY-0000306,ORG-200031,PTR-005,2022-09-16,2717.92,6413.69,ach_remittance
RPY-0000307,ORG-200031,PTR-005,2022-09-23,2391.47,8805.16,ach_remittance
RPY-0000308,ORG-200031,PTR-005,2022-09-30,1866.81,10671.97,manual_payment
RPY-0000309,ORG-200031,PTR-005,2022-10-07,1986.15,12658.12,ach_remittance
RPY-0000310,ORG-200031,PTR-005,2022-10-14,2726.81,15384.93,manual_payment
RPY-0000311,ORG-200031,PTR-005,2022-10-21,640.81,16025.74,ach_remittance
