origination_id,merchant_id,partner_id,business_vertical,state,funding_date,estimated_maturity_date,avg_monthly_gmv_usd,prior_advances_count,risk_score,industry_risk_tier,advance_amount_usd,factor_rate,total_repayment_usd,total_fee_usd,remittance_rate,term_estimate_days,status,pct_repaid,amount_repaid_usd
ORG-200036,MCH-100036,PTR-004,Yoga Studio,NJ,2023-04-05,2023-06-04,218078.3,2,810,medium,45955.23,1.137,52251.1,6295.87,0.135,60,active,0.823,43002.66
ORG-200037,MCH-100037,PTR-003,Salon,CO,2024-12-22,2025-05-08,9477.6,3,681,high,2000,1.342,2684.0,684.0,0.062,137,active,0.847,2273.35
ORG-200038,MCH-100038,PTR-006,Creative Services,NY,2025-12-24,2026-05-09,104091.22,2,640,high,48021.69,1.235,59306.79,11285.1,0.125,136,completed,1.0,59306.79
ORG-200039,MCH-100039,PTR-001,Ghost Kitchen,OH,2026-04-06,2026-06-05,55739.78,1,743,low,9554.83,1.213,11590.01,2035.18,0.148,60,completed,1.0,11590.01
ORG-200040,MCH-100040,PTR-005,Restaurant,CO,2022-07-04,2022-09-02,130775.53,0,645,low,23504.34,1.254,29474.44,5970.1,0.177,60,completed,1.0,29474.44
ORG-200041,MCH-100041,PTR-001,Cafe,NY,2023-08-03,2024-01-06,130100.86,0,579,high,52763.31,1.245,65690.32,12927.01,0.097,156,completed,1.0,65690.32
ORG-200042,MCH-100042,PTR-002,E-commerce Retail,PA,2022-11-12,2023-02-26,212351.67,0,747,low,77656.05,1.247,96837.09,19181.04,0.128,106,active,0.98,94900.35
ORG-200043,MCH-100043,PTR-003,Retail Store,OR,2023-03-31,2023-08-25,213982.18,0,744,medium,49942.44,1.304,65124.94,15182.5,0.062,147,active,0.98,63822.44
ORG-200044,MCH-100044,PTR-003,Auto Repair,MD,2025-02-08,2025-04-09,108809.36,2,527,medium,12492.09,1.217,15202.87,2710.78,0.178,60,active,0.98,14898.81
ORG-200045,MCH-100045,PTR-006,Creative Services,MI,2023-10-09,2023-12-08,160880.08,3,520,high,13624.4,1.294,17629.97,4005.57,0.165,60,active,0.88,15514.37
ORG-200046,MCH-100046,PTR-002,CPG Brand,MI,2025-01-22,2025-03-23,96897.96,2,585,low,22898.49,1.243,28462.82,5564.33,0.157,60,completed,1.0,28462.82
ORG-200047,MCH-100047,PTR-005,Bar,OH,2022-10-20,2022-12-19,162751.57,2,518,high,39441.94,1.263,49815.17,10373.23,0.174,60,active,0.937,46676.81
ORG-200048,MCH-100048,PTR-003,Auto Repair,FL,2023-08-08,2023-10-07,14271.03,0,666,low,2112.08,1.2,2534.5,422.42,0.18,60,completed,1.0,2534.5
ORG-200049,MCH-100049,PTR-003,Auto Repair,WA,2025-03-18,2025-07-02,200074.52,1,539,medium,56777.73,1.213,68871.39,12093.66,0.097,106,completed,1.0,68871.39
ORG-200050,MCH-100050,PTR-002,E-commerce Retail,AZ,2022-09-14,2022-12-15,234206.56,0,803,medium,70454.66,1.251,88138.78,17684.12,0.122,92,completed,1.0,88138.78
ORG-200051,MCH-100051,PTR-006,Photography Studio,PA,2024-09-18,2024-11-17,163341.56,0,578,high,22285.41,1.096,24424.81,2139.4,0.107,60,completed,1.0,24424.81
ORG-200052,MCH-100052,PTR-002,CPG Brand,FL,2022-11-24,2023-02-28,72728.15,0,531,medium,34255.19,1.193,40866.44,6611.25,0.175,96,active,0.98,40049.11
ORG-200053,MCH-100053,PTR-001,Ghost Kitchen,CO,2022-07-18,2023-02-11,141879.95,0,661,medium,53117.64,1.245,66131.46,13013.82,0.067,208,completed,1.0,66131.46
ORG-200054,MCH-100054,PTR-002,CPG Brand,GA,2024-09-06,2024-11-09,107311.33,2,795,low,33768.91,1.231,41569.53,7800.62,0.18,64,completed,1.0,41569.53
ORG-200055,MCH-100055,PTR-005,Bar,NC,2026-01-17,2026-04-16,235839.5,5,747,medium,71758.66,1.21,86827.98,15069.32,0.123,89,active,0.743,64513.19
ORG-200056,MCH-100056,PTR-006,E-commerce Retail,TX,2024-09-01,2024-10-31,32247.91,0,651,medium,3111.21,1.331,4141.02,1029.81,0.103,60,completed,1.0,4141.02
ORG-200057,MCH-100057,PTR-002,CPG Brand,WA,2022-03-18,2022-06-03,234009.27,0,768,high,40381.12,1.316,53141.55,12760.43,0.088,77,active,0.899,47774.25
ORG-200058,MCH-100058,PTR-004,Wellness Clinic,OR,2024-07-03,2024-10-09,87358.25,1,531,medium,26555.52,1.082,28733.07,2177.55,0.1,98,default,0.575,16521.52
ORG-200059,MCH-100059,PTR-003,Salon,MN,2024-08-22,2024-12-01,61445.52,4,653,high,21200.93,1.192,25271.51,4070.58,0.121,101,default,0.491,12408.31
ORG-200060,MCH-100060,PTR-005,Restaurant,MD,2024-11-11,2025-01-12,137871.76,0,773,high,14493.47,1.237,17928.42,3434.95,0.062,62,completed,1.0,17928.42
ORG-200061,MCH-100061,PTR-003,Retail Store,GA,2024-08-24,2024-10-23,147951.33,0,610,low,28174.16,1.321,37218.07,9043.91,0.178,60,active,0.843,31374.83
ORG-200062,MCH-100062,PTR-002,Marketplace Reseller,MA,2024-05-18,2024-09-01,135979.89,2,571,low,57379.99,1.205,69142.89,11762.9,0.143,106,completed,1.0,69142.89
ORG-200063,MCH-100063,PTR-006,Photography Studio,AZ,2023-09-08,2023-11-16,147748.91,2,762,medium,21478.9,1.258,27020.46,5541.56,0.079,69,active,0.895,24183.31
ORG-200064,MCH-100064,PTR-006,E-commerce Retail,TN,2024-07-10,2024-10-23,229367.36,1,810,medium,41492.05,1.169,48504.21,7012.16,0.06,105,active,0.732,35505.08
ORG-200065,MCH-100065,PTR-003,Salon,OR,2022-04-04,2022-07-22,221640.49,1,757,high,64839.11,1.135,73592.39,8753.28,0.091,109,completed,1.0,73592.39
ORG-200066,MCH-100066,PTR-002,E-commerce Retail,VA,2022-04-10,2022-06-13,126172.55,4,673,low,38766.39,1.1,42643.03,3876.64,0.156,64,default,0.277,11812.12
ORG-200067,MCH-100067,PTR-001,Ghost Kitchen,OR,2022-02-04,2022-04-19,118354.34,0,704,high,24765.25,1.224,30312.67,5547.42,0.103,74,completed,1.0,30312.67
ORG-200068,MCH-100068,PTR-004,Fitness Studio,CO,2025-08-23,2025-10-22,240150.07,1,578,medium,53340.49,1.102,58781.22,5440.73,0.179,60,default,0.101,5936.9
ORG-200069,MCH-100069,PTR-005,Bar,TX,2024-12-17,2025-02-15,162093.03,2,526,high,42505.47,1.344,57127.35,14621.88,0.177,60,active,0.78,44559.33
ORG-200070,MCH-100070,PTR-004,Fitness Studio,PA,2025-11-12,2026-01-26,47312.96,0,767,high,14651.93,1.184,17347.89,2695.96,0.146,75,completed,1.0,17347.89
ORG-200071,MCH-100071,PTR-004,Spa,MD,2025-07-22,2025-09-20,167882.6,0,698,medium,39231.22,1.122,44017.43,4786.21,0.143,60,active,0.836,36798.57
ORG-200072,MCH-100072,PTR-004,Fitness Studio,PA,2023-09-09,2023-12-30,108142.04,2,732,medium,23290.78,1.183,27552.99,4262.21,0.068,112,active,0.751,20692.3
ORG-200073,MCH-100073,PTR-002,CPG Brand,MA,2026-01-29,2026-04-27,75832.64,2,617,medium,21502.27,1.264,27178.87,5676.6,0.122,88,completed,1.0,27178.87
ORG-200074,MCH-100074,PTR-005,Restaurant,CO,2025-06-08,2025-08-07,177795.5,3,690,low,18962.93,1.259,23874.33,4911.4,0.072,60,active,0.98,23396.84
ORG-200075,MCH-100075,PTR-005,Restaurant,CO,2024-07-21,2024-09-19,249444.06,1,595,low,40505.86,1.118,45285.55,4779.69,0.091,60,active,0.882,39941.86
ORG-200076,MCH-100076,PTR-003,Convenience Store,TN,2024-05-29,2024-08-27,64109.04,1,559,high,15762.52,1.318,20775.0,5012.48,0.108,90,completed,1.0,20775.0
ORG-200077,MCH-100077,PTR-006,Photography Studio,PA,2024-11-12,2025-01-11,230321.18,1,715,medium,26109.67,1.129,29477.82,3368.15,0.14,60,completed,1.0,29477.82
ORG-200078,MCH-100078,PTR-005,Restaurant,CO,2024-05-01,2024-08-11,238345.75,1,562,high,93565.98,1.214,113589.1,20023.12,0.139,102,completed,1.0,113589.1
ORG-200079,MCH-100079,PTR-004,Spa,NJ,2022-06-28,2022-08-27,32784.78,3,740,medium,8527.08,1.151,9814.67,1287.59,0.162,60,completed,1.0,9814.67
ORG-200080,MCH-100080,PTR-003,Auto Repair,AZ,2023-07-22,2023-10-25,244918.04,0,683,low,37843.42,1.191,45071.51,7228.09,0.058,95,active,0.744,33533.2
ORG-200081,MCH-100081,PTR-004,Yoga Studio,NY,2022-09-25,2022-11-26,200554.06,1,810,medium,43946.84,1.157,50846.49,6899.65,0.121,62,completed,1.0,50846.49
ORG-200082,MCH-100082,PTR-002,Marketplace Reseller,IL,2025-08-21,2025-10-20,221479.76,0,780,medium,24518.77,1.102,27019.68,2500.91,0.136,60,active,0.839,22669.51
ORG-200083,MCH-100083,PTR-002,CPG Brand,NY,2026-03-23,2026-05-22,63405.14,0,758,low,14785.73,1.117,16515.66,1729.93,0.151,60,active,0.925,15276.99
ORG-200084,MCH-100084,PTR-006,Creative Services,CO,2023-08-07,2023-10-10,241106.19,0,545,medium,59642.53,1.242,74076.02,14433.49,0.144,64,default,0.43,31852.69
ORG-200085,MCH-100085,PTR-006,Creative Services,PA,2024-12-17,2025-02-15,164373.09,2,754,medium,30861.83,1.215,37497.12,6635.29,0.127,60,active,0.704,26397.97
ORG-200086,MCH-100086,PTR-004,Yoga Studio,OR,2022-11-15,2023-01-29,193640.62,1,629,medium,30506.1,1.218,37156.43,6650.33,0.076,75,completed,1.0,37156.43
ORG-200087,MCH-100087,PTR-006,Photography Studio,WA,2023-06-15,2023-08-14,36905.21,2,724,medium,8236.11,1.22,10048.05,1811.94,0.157,60,active,0.744,7475.75
ORG-200088,MCH-100088,PTR-003,Auto Repair,OH,2023-05-16,2023-07-15,195145.61,3,716,low,31963.82,1.092,34904.49,2940.67,0.162,60,active,0.827,28866.01
ORG-200089,MCH-100089,PTR-001,Ghost Kitchen,NC,2022-06-26,2023-01-03,202649.8,5,805,low,90275.2,1.289,116364.73,26089.53,0.09,191,completed,1.0,116364.73
ORG-200090,MCH-100090,PTR-002,Marketplace Reseller,NJ,2025-04-27,2025-08-06,177604.95,1,812,low,48526.83,1.252,60755.59,12228.76,0.101,101,completed,1.0,60755.59
ORG-200091,MCH-100091,PTR-002,CPG Brand,PA,2023-11-03,2024-01-22,120129.88,3,529,medium,46894.86,1.091,51162.29,4267.43,0.159,80,active,0.949,48553.01
ORG-200092,MCH-100092,PTR-001,Cafe,NY,2022-09-08,2022-11-12,13275.64,0,789,high,3425.49,1.309,4483.97,1058.48,0.155,65,active,0.861,3860.7
ORG-200093,MCH-100093,PTR-001,Restaurant,OH,2026-05-21,2026-08-02,100689.7,1,706,medium,34314.33,1.295,44437.06,10122.73,0.179,73,completed,1.0,44437.06
ORG-200094,MCH-100094,PTR-005,Restaurant,WA,2024-03-06,2024-06-01,32232.51,2,585,low,13504.76,1.235,16678.38,3173.62,0.178,87,completed,1.0,16678.38
ORG-200095,MCH-100095,PTR-001,Cafe,MN,2022-08-16,2022-10-15,56754.38,0,729,medium,4926.2,1.27,6256.27,1330.07,0.068,60,active,0.98,6131.14
ORG-200096,MCH-100096,PTR-005,Bar,NC,2024-03-12,2024-05-11,169058.66,3,621,medium,25335.79,1.336,33848.62,8512.83,0.173,60,active,0.97,32833.16
ORG-200097,MCH-100097,PTR-006,Photography Studio,AZ,2024-06-16,2024-11-24,116084.44,0,580,low,27385.48,1.275,34916.49,7531.01,0.056,161,default,0.583,20356.31
ORG-200098,MCH-100098,PTR-001,Bakery,WA,2026-02-03,2026-04-04,154970.87,1,517,medium,19591.22,1.268,24841.67,5250.45,0.144,60,completed,1.0,24841.67
ORG-200099,MCH-100099,PTR-001,Restaurant,GA,2022-07-06,2022-09-04,49341.39,0,526,low,8685.39,1.212,10526.69,1841.3,0.136,60,completed,1.0,10526.69
ORG-200100,MCH-100100,PTR-006,Creative Services,VA,2024-08-30,2025-01-02,108184.77,2,573,low,45599.47,1.193,54400.17,8800.7,0.12,125,completed,1.0,54400.17
ORG-200101,MCH-100101,PTR-005,Bar,AZ,2022-01-26,2022-04-27,228414.69,4,521,high,62389.13,1.311,81792.15,19403.02,0.118,91,active,0.918,75085.19
ORG-200102,MCH-100102,PTR-002,E-commerce Retail,MI,2023-04-12,2023-06-15,230842.07,3,506,medium,52608.46,1.312,69022.3,16413.84,0.139,64,active,0.98,67641.85
ORG-200103,MCH-100103,PTR-005,Food Truck,CA,2023-07-16,2023-09-14,50044.44,3,564,low,8256.04,1.328,10964.02,2707.98,0.142,60,completed,1.0,10964.02
ORG-200104,MCH-100104,PTR-003,Retail Store,PA,2024-04-18,2024-10-08,14643.02,0,773,medium,5714.6,1.263,7217.54,1502.94,0.085,173,completed,1.0,7217.54
ORG-200105,MCH-100105,PTR-003,Auto Repair,CA,2023-01-24,2023-03-25,166606.94,5,583,high,41483.07,1.237,51314.56,9831.49,0.179,60,completed,1.0,51314.56
ORG-200106,MCH-100106,PTR-005,Restaurant,AZ,2024-08-07,2024-10-23,166373.18,0,571,medium,45746.33,1.18,53980.67,8234.34,0.126,77,active,0.865,46693.28
ORG-200107,MCH-100107,PTR-004,Yoga Studio,WA,2026-04-13,2026-07-10,83846.21,0,645,medium,21977.45,1.286,28263.0,6285.55,0.114,88,default,0.121,3419.82
ORG-200108,MCH-100108,PTR-004,Wellness Clinic,NJ,2024-12-23,2025-04-10,241609.34,1,512,medium,98147.88,1.321,129653.35,31505.47,0.148,108,active,0.937,121485.19
ORG-200109,MCH-100109,PTR-003,Retail Store,MA,2022-04-09,2022-06-08,220123.68,0,671,low,44103.32,1.109,48910.58,4807.26,0.159,60,completed,1.0,48910.58
ORG-200110,MCH-100110,PTR-002,CPG Brand,FL,2023-02-18,2023-04-23,131803.52,1,590,low,34651.96,1.29,44701.03,10049.07,0.158,64,completed,1.0,44701.03
ORG-200111,MCH-100111,PTR-001,Restaurant,FL,2023-08-19,2023-10-18,226956.61,1,646,medium,28677.21,1.3,37280.37,8603.16,0.164,60,completed,1.0,37280.37
ORG-200112,MCH-100112,PTR-006,E-commerce Retail,CO,2025-08-21,2025-10-20,205221.36,0,628,high,33683.54,1.31,44125.44,10441.9,0.154,60,active,0.758,33447.08
ORG-200113,MCH-100113,PTR-002,CPG Brand,MI,2026-03-03,2026-05-11,35330.87,1,515,medium,7338.1,1.314,9642.26,2304.16,0.118,69,completed,1.0,9642.26
ORG-200114,MCH-100114,PTR-005,Restaurant,CA,2023-07-24,2023-11-21,163702.49,0,772,high,43919.42,1.213,53274.26,9354.84,0.081,120,active,0.778,41447.37
ORG-200115,MCH-100115,PTR-006,E-commerce Retail,CA,2024-10-05,2024-12-04,90608.42,3,809,medium,21921.96,1.109,24311.45,2389.49,0.167,60,active,0.951,23120.19
ORG-200116,MCH-100116,PTR-004,Wellness Clinic,MD,2026-05-19,2026-07-18,239398.06,0,660,low,60565.03,1.238,74979.51,14414.48,0.17,60,active,0.762,57134.39
ORG-200117,MCH-100117,PTR-002,E-commerce Retail,NJ,2025-07-02,2026-01-13,153810.92,3,664,medium,60912.4,1.251,76201.41,15289.01,0.076,195,completed,1.0,76201.41
ORG-200118,MCH-100118,PTR-004,Wellness Clinic,NJ,2024-06-26,2024-08-25,239521.88,5,600,low,19518.99,1.248,24359.7,4840.71,0.152,60,active,0.98,23872.51
ORG-200119,MCH-100119,PTR-005,Bar,IL,2022-04-15,2022-07-14,46944.78,3,502,high,11582.51,1.121,12983.99,1401.48,0.092,90,default,0.394,5115.69
ORG-200120,MCH-100120,PTR-002,Marketplace Reseller,NY,2024-01-09,2024-03-09,198274.49,0,674,high,19845.54,1.138,22584.22,2738.68,0.093,60,completed,1.0,22584.22
ORG-200121,MCH-100121,PTR-004,Fitness Studio,MA,2025-08-27,2025-12-08,70094.91,2,508,medium,17736.21,1.211,21478.55,3742.34,0.089,103,active,0.88,18901.12
ORG-200122,MCH-100122,PTR-003,Convenience Store,MA,2026-03-29,2026-06-25,117172.41,1,601,high,36023.81,1.253,45137.83,9114.02,0.13,88,default,0.075,3385.34
ORG-200123,MCH-100123,PTR-003,Retail Store,PA,2023-03-27,2023-07-22,198427.84,0,528,high,49942.04,1.088,54336.94,4394.9,0.07,117,active,0.837,45480.02
ORG-200124,MCH-100124,PTR-005,Bar,VA,2025-09-04,2026-02-15,25700.99,2,580,medium,8091.22,1.169,9458.64,1367.42,0.067,164,active,0.8,7566.91
ORG-200125,MCH-100125,PTR-002,CPG Brand,MA,2022-01-22,2022-03-23,62040.21,2,735,medium,8292.38,1.104,9154.79,862.41,0.097,60,completed,1.0,9154.79
ORG-200126,MCH-100126,PTR-004,Spa,NY,2025-08-21,2026-02-28,71974.42,0,714,medium,19185.38,1.318,25286.33,6100.95,0.055,191,completed,1.0,25286.33
ORG-200127,MCH-100127,PTR-003,Auto Repair,OR,2023-03-20,2023-06-21,239893.68,1,680,low,99650.89,1.302,129745.46,30094.57,0.173,93,completed,1.0,129745.46
ORG-200128,MCH-100128,PTR-005,Food Truck,TX,2026-05-06,2026-07-05,220416.14,1,741,low,41293.0,1.243,51327.2,10034.2,0.158,60,completed,1.0,51327.2
ORG-200129,MCH-100129,PTR-005,Restaurant,NJ,2025-12-23,2026-04-07,40399.71,1,574,low,8937.4,1.19,10635.51,1698.11,0.075,105,default,0.054,574.32
ORG-200130,MCH-100130,PTR-005,Restaurant,MA,2025-01-02,2025-03-03,166400.16,2,601,medium,19878.97,1.238,24610.16,4731.19,0.084,60,completed,1.0,24610.16
ORG-200131,MCH-100131,PTR-003,Salon,MA,2024-03-31,2024-07-20,186059.35,3,711,medium,48124.68,1.124,54092.14,5967.46,0.078,111,active,0.98,53010.3
ORG-200132,MCH-100132,PTR-005,Food Truck,OR,2026-05-16,2026-07-15,177024.84,1,716,medium,20483.28,1.123,23002.72,2519.44,0.18,60,completed,1.0,23002.72
ORG-200133,MCH-100133,PTR-002,Marketplace Reseller,GA,2022-08-28,2022-10-29,118051.68,1,501,medium,19607.84,1.1,21568.62,1960.78,0.088,62,active,0.98,21137.25
ORG-200134,MCH-100134,PTR-006,E-commerce Retail,NC,2026-03-14,2026-06-12,201639.06,1,613,low,53435.62,1.158,61878.45,8442.83,0.102,90,active,0.727,44985.63
ORG-200135,MCH-100135,PTR-005,Restaurant,MI,2023-03-31,2023-08-24,97829.56,0,787,medium,30958.62,1.327,41082.09,10123.47,0.086,146,default,0.121,4970.93
ORG-200136,MCH-100136,PTR-001,Cafe,MA,2023-03-08,2023-10-14,216216.83,2,646,low,65146.02,1.266,82474.86,17328.84,0.052,220,completed,1.0,82474.86
ORG-200137,MCH-100137,PTR-001,Ghost Kitchen,TX,2023-06-12,2023-08-11,60143.09,0,768,low,12531.58,1.177,14749.67,2218.09,0.123,60,completed,1.0,14749.67
ORG-200138,MCH-100138,PTR-004,Fitness Studio,MA,2024-04-08,2024-07-18,156506.63,1,806,medium,57404.52,1.194,68541.0,11136.48,0.13,101,active,0.725,49692.22
ORG-200139,MCH-100139,PTR-001,Restaurant,OH,2022-09-26,2022-11-25,157580.73,0,798,high,25078.0,1.157,29015.25,3937.25,0.131,60,completed,1.0,29015.25
ORG-200140,MCH-100140,PTR-006,Photography Studio,WA,2025-01-10,2025-04-21,150981.08,1,740,high,41693.72,1.164,48531.49,6837.77,0.095,101,active,0.731,35476.52
ORG-200141,MCH-100141,PTR-006,E-commerce Retail,OR,2022-05-21,2022-08-06,193018.27,4,758,medium,39967.62,1.298,51877.97,11910.35,0.104,77,active,0.801,41554.25
ORG-200142,MCH-100142,PTR-001,Cafe,NY,2024-02-21,2024-04-21,212138.2,4,518,high,23778.65,1.132,26917.43,3138.78,0.159,60,active,0.743,19999.65
ORG-200143,MCH-100143,PTR-001,Restaurant,OH,2023-10-27,2024-01-10,124457.56,0,615,low,37125.2,1.11,41208.97,4083.77,0.132,75,active,0.978,40302.37
ORG-200144,MCH-100144,PTR-001,Ghost Kitchen,MI,2024-01-04,2024-03-23,64307.26,5,752,medium,21179.87,1.132,23975.61,2795.74,0.14,79,completed,1.0,23975.61
ORG-200145,MCH-100145,PTR-005,Restaurant,TN,2025-06-23,2025-09-08,79552.78,0,617,low,26580.96,1.278,33970.47,7389.51,0.165,77,active,0.972,33019.3
ORG-200146,MCH-100146,PTR-004,Wellness Clinic,OR,2024-10-03,2025-01-18,159000.86,1,516,medium,32908.69,1.331,43801.47,10892.78,0.077,107,active,0.98,42925.44
ORG-200147,MCH-100147,PTR-004,Fitness Studio,WA,2025-01-31,2025-04-06,199775.71,1,662,medium,54629.39,1.332,72766.35,18136.96,0.167,65,delinquent,0.379,27578.45
ORG-200148,MCH-100148,PTR-003,Retail Store,PA,2022-07-13,2022-11-03,246223.45,0,601,medium,93558.39,1.234,115451.05,21892.66,0.124,113,active,0.824,95131.67
